"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","Навигация в раздел ""marketing"" работает","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Поиск статьи по ключевому слову ""питон""","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Форма входа содержит все необходимые элементы","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Сортировка статей по рейтингу","Habr.com - Тестирование функционала статей","2025-12-10","skipped","","","TC-3: Сортировка и фильтрация","",""
"","","Переключение видимости пароля работает","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Навигация в раздел ""design"" работает","Habr.com - Smoke Tests","2025-12-12","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Главная страница загружается корректно","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Логотип Habr отображается","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Кнопка входа отображается","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Логотип Habr отображается","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Кнопка входа отображается на главной странице","Habr.com - Тестирование авторизации","2025-12-12","skipped","","","TC-1: Доступность форм авторизации","",""
"","","Главная страница загружается корректно","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Нельзя зарегистрироваться с уже существующим email","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-5: Интеграционные тесты","",""
"","","Все поля формы регистрации присутствуют","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Форма входа содержит все необходимые элементы","Habr.com - Детальное тестирование авторизации","2025-12-11","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","TypeScript should compile correctly","TypeScript configuration test","2025-12-10","skipped","","","","",""
"","","Логотип Habr отображается","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Вход с неверными данными показывает ошибку","Habr.com - Детальное тестирование авторизации","2025-12-11","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Навигационное меню отображается","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Все поля формы регистрации присутствуют","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-2: Валидация формы регистрации","",""
"","","TypeScript should compile correctly","TypeScript configuration test","2025-12-11","skipped","","","","",""
"","","Навигация в раздел ""marketing"" работает","Habr.com - Smoke Tests","2025-12-11","skipped","","","TC-3: Проверка навигации по разделам","",""
"","","Кнопка входа отображается на главной странице","Habr.com - Тестирование авторизации","2025-12-12","skipped","","","TC-1: Доступность форм авторизации","",""
"","","Чекбокс соглашения обязателен","Habr.com - Детальное тестирование авторизации","2025-12-10","skipped","","","TC-2: Валидация формы регистрации","",""
"","","Вход с неверными данными показывает ошибку","Habr.com - Детальное тестирование авторизации","2025-12-12","skipped","","","TC-1: Детальная проверка формы входа","",""
"","","Логотип Habr отображается","Habr.com - Smoke Tests","2025-12-10","skipped","","","TC-1: Проверка загрузки и видимости основных элементов","",""
"","","Можно открыть первую статью","Habr.com - Тестирование функционала статей","2025-12-12","skipped","","","TC-2: Открытие и чтение статей","",""
